name,role,group,affiliation,photo,link,order
William Wilcock,Principal Investigator,leadership,UW · School of Oceanography,william-wilcock.jpg,https://environment.uw.edu/faculty/william-wilcock/,1
Mike Harrington,"Co-PI, Chief Engineer",leadership,UW · Applied Physics Laboratory,mike-harrington.png,https://apl.uw.edu/people/profile.php?last_name=Harrington&first_name=Mike,2
David Schmidt,"Co-PI; Science, Training, and Outreach Team",leadership,UW · Earth & Space Sciences,david-schmidt.jpg,https://environment.uw.edu/faculty/david-schmidt/,3
Deborah Kelley,"Co-PI; Science, Training, and Outreach Team",leadership,UW · School of Oceanography,deborah-kelley.jpg,https://environment.uw.edu/faculty/deborah-kelley/,4
Harold Tobin,"Co-PI; Science, Training, and Outreach Team",leadership,UW · Earth & Space Sciences,harold-tobin.jpg,https://environment.uw.edu/faculty/harold-tobin/,5
Marine Denolle,"Science, Training, and Outreach Team",leadership,UW · Earth & Space Sciences,marine-denolle.jpg,https://environment.uw.edu/faculty/marine-denolle/,6
Mika Thompson,Project Manager,research,UW · Earth & Space Sciences,mika-thompson.jpg,https://www.ocean.washington.edu/home/Mika_Thompson,1
Dana Manalang,Lead Instrument Engineer,research,UW · Applied Physics Laboratory,dana-manalang.png,https://apl.uw.edu/people/profile.php?last_name=Manalang&first_name=Dana,2
Geoff Cram,Lead Mechanical Engineer,research,UW · Applied Physics Laboratory,geoff-cram.png,https://apl.uw.edu/people/profile.php?last_name=Cram&first_name=Geoff,3
Chuck McGuire,Lead Systems Engineer,research,UW · Applied Physics Laboratory,chuck-mcguire.png,https://apl.uw.edu/people/profile.php?last_name=McGuire&first_name=Chuck,4
James Tilley,Lead Electrical Engineer,research,UW · Applied Physics Laboratory,james-tilley.png,https://apl.uw.edu/people/profile.php?last_name=Tilley&first_name=James,5
Chris Murray,Assistant Systems Engineer,research,UW · Applied Physics Laboratory,chris-murray.png,https://apl.uw.edu/people/profile.php?last_name=Murray&first_name=Christopher,6
Anuscheh Nawaz,STEM Development Program Coordinator,research,UW · Applied Physics Laboratory,,,7
Matthew Khoo,UW APL Assistant Program Manager,research,UW · Applied Physics Laboratory,matthew-khoo.png,https://apl.uw.edu/people/profile.php?last_name=Khoo&first_name=Matthew,8
Keith Blood,Principal Electrical Engineer,research,UW · Applied Physics Laboratory,,https://apl.uw.edu/people/profile.php?last_name=Blood&first_name=Keith,9
Grant Dunn,Mechanical Engineer,research,UW · Applied Physics Laboratory,grant-dunn.png,https://apl.uw.edu/people/profile.php?last_name=Dunn&first_name=Grant,10
Ken Feldman,Network Engineer,research,UW · School of Oceanography,,https://www.ocean.washington.edu/home/Ken_Feldman,11
Steve Geffner,Senior Embedded Programmer,research,UW · Applied Physics Laboratory,,https://apl.uw.edu/people/profile.php?last_name=Geffner&first_name=Steve,12
Larry Nielson,Field Engineer,research,UW · Applied Physics Laboratory,,https://apl.uw.edu/people/profile.php?last_name=Nielson&first_name=Larry,14
Austin Smith,Electrical Engineer,research,UW · Applied Physics Laboratory,austin-smith.png,https://apl.uw.edu/people/profile.php?last_name=Smith&first_name=Austin,16
Kira Smith,APL Research Scientist/Engineer,research,UW · Applied Physics Laboratory,,https://apl.uw.edu/people/profile.php?last_name=Smith&first_name=Kira,17
Joel White,Development Technician,research,UCSD Scripps Institution of Oceanography,,,19
Matt Duke,Electronics Tech,research,UW · Applied Physics Laboratory,matt-duke.png,https://apl.uw.edu/people/profile.php?last_name=Duke&first_name=Matt,20
Trina Litchendorf,Oceanographer,research,UW · Applied Physics Laboratory,trina-litchendorf.png,https://apl.uw.edu/people/profile.php?last_name=Litchendorf&first_name=Trina,21
Yoichiro Dobashi,Graduate Student,graduate,UW · School of Oceanography,yoichiro-dobashi.jpg,https://www.ocean.washington.edu/home/Yoichiro_Dobashi,1
Maleen Kidiwela,Postdoctoral Scholar,postdocs,UW · School of Oceanography,maleen-kidiwela.png,https://maleenkidiwela.github.io,1
Michael Hemmett,Graduate Student,graduate,UW · School of Oceanography,,,
Andy Matthias,Electrical Engineer,research,UW · Applied Physics Laboratory,,,
Derek Martin,Mechanical Engineer,research,UW · Applied Physics Laboratory,,,
Matthew Cook,Postdoctoral Scholar,postdocs,UCSD Scripps Institution of Oceanography,,,
Mark Zumberge,Research Geophysicist,research,UCSD Scripps Institution of Oceanography,,,
Glenn Sasagawa,R&D Engineer,research,UCSD Scripps Institution of Oceanography,,,
Anne Sheehan,Science Advisory Committee Chair,committee,University of Colorado Boulder,,,1
Matt Wei,Science Advisory Committee Member,committee,University of Rhode Island,,,2
Helen Janiszewski,Science Advisory Committee Member,committee,University of Hawaii,,,3
Valerie Sahakian,Science Advisory Committee Member,committee,University of Oregon,,,4
